Gemeinde,Ort,PLZ,Strasse / Nr.,Ensemble,Objekt,GVZ Nr.,Einstufung,Festsetzung,Erlass,Schutz,Grundbucheintrag
Adliswil,Adliswil,8134,Sihlaustrasse 2,Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser,Kosthaus Sihlaustrasse 2,13101049,regional,,,-,
Adliswil,Adliswil,8134,Sihlaustrasse 21,Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser,Kosthaus Sihlaustrasse 21,13101038,regional,,,-,
Adliswil,Adliswil,8134,Sihlaustrasse 23,Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser,Kosthaus Sihlaustrasse 23,13101037,regional,,,-,
Adliswil,Adliswil,8134,Sihlaustrasse 25,Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser,Kosthaus Sihlaustrasse 25,13101036,regional,,,-,
Adliswil,Adliswil,8134,Sihlaustrasse 29,Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser,Kosthaus Sihlaustrasse 29,13101034,regional,,,-,
Adliswil,Adliswil,8134,Sihlaustrasse 3,Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser,Kosthaus Sihlaustrasse 3,13101043,regional,,,-,
Adliswil,Adliswil,8134,Sihlaustrasse 31,Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser,Kosthaus Sihlaustrasse 31,13101033,regional,,,-,
Adliswil,Adliswil,8134,Sihlaustrasse 33,Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser,Kosthaus Sihlaustrasse 33,13101032,regional,,,-,
Adliswil,Adliswil,8134,Sihlaustrasse 35,Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser,Kosthaus Sihlaustrasse 35,13100100,regional,,,-,
Adliswil,Adliswil,8134,Sihlaustrasse 4,Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser,Kosthaus Sihlaustrasse 4,13101050,regional,,,-,
Adliswil,Adliswil,8134,Sihlaustrasse 5,Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser,Kosthaus Sihlaustrasse 5,13101044,regional,,,-,
Adliswil,Adliswil,8134,Sihlaustrasse 6,Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser,Kosthaus Sihlaustrasse 6,13100107,regional,,,-,
Adliswil,Adliswil,8134,Sihlaustrasse 7,Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser,Kosthaus Sihlaustrasse 7,13101045,regional,,,-,
Adliswil,Adliswil,8134,Sihlaustrasse 7a,Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser,Kosthaus Sihlaustrasse 7a,13101035,regional,,,-,
Adliswil,Adliswil,8134,Sihlaustrasse 8,Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser,Kosthaus Sihlaustrasse 8,13101051,regional,,,-,
Adliswil,Adliswil,8134,Sihlaustrasse 9,Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser,Kosthaus Sihlaustrasse 9,13101046,regional,,,-,
Adliswil,Adliswil,8134,Sihlweg 1; Sihlweg 3; Sihlweg 5; Sihlweg 7; Webereistrasse 56; Webereistrasse 58; Webereistrasse 60; Webereistrasse 62; Webereistrasse 64; Webereistrasse 66; Webereistrasse 68,Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Fabrikareal,Flachbau mit Shedhallen,13100468,regional,19/12/1979,"RRB Nr. 3331/1985 Zimmerberg, RRB Nr. 5113/1979 Liste Kanton",ÖREB,6/7/2016
Adliswil,Adliswil,8134,Webereistrasse 49,Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Fabrikareal,Ehem. Pferdestall und Scheune,13100470,regional,19/12/1979,"RRB Nr. 3331/1985 Zimmerberg, RRB Nr. 5113/1979 Liste Kanton",ÖREB,6/7/2016
Adliswil,Adliswil,8134,,Adliswil: Sperrstelle 5104,Geschützstand A04800,,kantonal,,,-,
Adliswil,Adliswil,8134,,Adliswil: Sperrstelle 5104,Geschützstand A04801,,regional,,,-,
Adliswil,Adliswil,8134,,Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser,Sihlausteg,,regional,26/8/1998,RRB Nr. 1937/1998 Einzelaufstufung,PD,22/11/2004
Aesch (ZH),Aesch,8904,Dorfstrasse 8,,Ehem. Schulhaus «Türmlihaus»,24100091,regional,19/12/1979,"RRB Nr. 1625/1984 Limmattal, RRB Nr. 5113/1979 Liste Kanton",-,
Aesch (ZH),Aesch,8904,Feldstrasse 5; Feldstrasse 7,,Wohnhaus,24100022,kantonal,19/12/1979,"RRB Nr. 1625/1984 Limmattal, RRB Nr. 5113/1979 Liste Kanton",PD,31/3/1999
Aesch (ZH),Aesch,8904,Hornstrasse 2,"Aesch (ZH): Vielzweckhaus, sog. «Hafnerhaus»",Scheune,24100332,-,,,PD,25/3/1977
Aesch (ZH),Aesch,8904,Hornstrasse 4,"Aesch (ZH): Vielzweckhaus, sog. «Hafnerhaus»",Hausteil 2,24100331,-,,,PD,25/3/1977
Aesch (ZH),Aesch,8904,Hornstrasse 6,"Aesch (ZH): Vielzweckhaus, sog. «Hafnerhaus»",Hausteil 1,24100330,-,,,PD,25/3/1977
Aeugst am Albis,Aeugst am Albis,8914,Chileweg 2,,"Pfarrhaus, ref.",100844,regional,19/12/1979,"RRB Nr. 3438/1984 Knonaueramt, RRB Nr. 5113/1979 Liste Kanton",PD,5/9/1973
Aeugst am Albis,Aeugst am Albis,8914,Chileweg 2a,,"Kirche, ref.",100846,kantonal,19/12/1979,"RRB Nr. 3438/1984 Knonaueramt, RRB Nr. 5113/1979 Liste Kanton",-,
Aeugst am Albis,Aeugst am Albis,8914,Unterdorf 12a,,Transformatorenstation Unterdorf,100526,regional,13/11/2017,AREV Nr. 1446/2017 Liste und Inventarblatt,-,
Aeugst am Albis,Aeugstertal,8914,Habersaatweg 10,Aeugst am Albis: Wohnhaus mit Speicher,Speicher,100059,kantonal,28/1/2008,"BDV Nr. 3007/2008 Einzelfestsetzung ohne Inventarblatt, AREV Nr. 1446/2017 Inventarblatt",ÖREB,10/4/2008
Affoltern am Albis,Affoltern am Albis,8910,Butzenstrasse 11,,"Doppelbauernhaus, sog. «Butzenhaus»",202172,regional,19/12/1979,"RRB Nr. 3438/1984 Knonaueramt, RRB Nr. 5113/1979 Liste Kanton",ÖREB,10/2/2006
Affoltern am Albis,Affoltern am Albis,8910,Butzenstrasse 2,Affoltern am Albis: Primarschulanlage Chilefeld,Altes Sekundarschulhaus,200925,regional,19/12/1979,"RRB Nr. 3438/1984 Knonaueramt, RRB Nr. 5113/1979 Liste Kanton",PD,17/2/1994
Affoltern am Albis,Affoltern am Albis,8910,Butzenstrasse 8,Affoltern am Albis: Primarschulanlage Butzen,Abwartshaus,200928,regional,13/11/2017,AREV Nr. 1446/2017 Liste und Inventarblatt,-,
Affoltern am Albis,Affoltern am Albis,8910,Butzenstrasse 8 bei,Affoltern am Albis: Primarschulanlage Butzen,Klassenzimmertrakt,200927,regional,13/11/2017,AREV Nr. 1446/2017 Liste und Inventarblatt,-,
Affoltern am Albis,Affoltern am Albis,8910,Butzenstrasse 8 bei,Affoltern am Albis: Primarschulanlage Butzen,Singsaal/Aula,200928,regional,13/11/2017,AREV Nr. 1446/2017 Liste und Inventarblatt,-,
Affoltern am Albis,Affoltern am Albis,8910,Butzenstrasse 8 bei,Affoltern am Albis: Primarschulanlage Butzen,Turnhalle,200928,regional,13/11/2017,AREV Nr. 1446/2017 Liste und Inventarblatt,-,
Affoltern am Albis,Affoltern am Albis,8910,Gartenstrasse 25,,Doppelkindergarten Haupel,201113,regional,13/11/2017,AREV Nr. 1446/2017 Liste und Inventarblatt,-,
Affoltern am Albis,Affoltern am Albis,8910,Kirchgasse 1,Affoltern am Albis: Pfrundliegenschaft,"Pfarrhaus, ref.",200158,regional,19/12/1979,"RRB Nr. 3438/1984 Knonaueramt, RRB Nr. 5113/1979 Liste Kanton",PD,10/6/1971
Affoltern am Albis,Affoltern am Albis,8910,Kirchgasse 3,Affoltern am Albis: Pfrundliegenschaft,"Kirche, ref.",200162,kantonal,19/12/1979,"RRB Nr. 3438/1984 Knonaueramt, RRB Nr. 5113/1979 Liste Kanton",-,
Affoltern am Albis,Affoltern am Albis,8910,Kirchgasse 4,Affoltern am Albis: Primarschulanlage Chilefeld,Altes Primarschulhaus,200921,regional,13/11/2017,AREV Nr. 1446/2017 Liste und Inventarblatt,PD,14/12/1981
Affoltern am Albis,Affoltern am Albis,8910,Obere Bahnhofstrasse 20,,Wohnhaus «Friedheim»,200063,regional,13/11/2017,AREV Nr. 1446/2017 Liste und Inventarblatt,ÖREB,29/8/2011
Affoltern am Albis,Affoltern am Albis,8910,Obere Bahnhofstrasse 5,,Druckerei Weiss,200088,regional,13/11/2017,AREV Nr. 1446/2017 Liste und Inventarblatt,-,
Affoltern am Albis,Affoltern am Albis,8910,Obere Kirchfeldstrasse 10,,Villa «Alpina»,200917,regional,13/11/2017,AREV Nr. 1446/2017 Liste und Inventarblatt,-,
Affoltern am Albis,Affoltern am Albis,8910,Wiesengrundstrasse,,Transformatorenstation Breite,200516,regional,13/11/2017,AREV Nr. 1446/2017 Liste und Inventarblatt,-,
Affoltern am Albis,Affoltern am Albis,8910,Zürichstrasse 136,Affoltern am Albis: Ehem. Bezirks- und Gerichtsgebäude mit ehem. Bezirksgefängnis,Ehem. Bezirks- und Gerichtsgebäude,200200,regional,19/12/1979,"RRB Nr. 5113/1979 Liste, RRB Nr. 3438/1984 Inventarblatt, AREV Nr. 1446/2017 Inventarblatt",PD,30/6/1989
Affoltern am Albis,Affoltern am Albis,8910,Zürichstrasse 138,Affoltern am Albis: Ehem. Bezirks- und Gerichtsgebäude mit ehem. Bezirksgefängnis,Ehem. Bezirksgefängnis,200202,regional,13/11/2017,AREV Nr. 1446/2017 Liste und Inventarblatt,-,
Affoltern am Albis,Affoltern am Albis,8910,Zürichstrasse 84,,Ehem. Vielzweckbauernhaus,200140,regional,8/5/1996,"RRB Nr. 1279/1996 Einzelfestsetzung ohne Inventarblatt, AREV Nr. 1446/2017 Inventarblatt",PD,24/6/1996
Affoltern am Albis,Affoltern am Albis,8910,Zürichstrasse 92,,"Arzthaus, ehem.",200156,regional,19/12/1979,"RRB Nr. 3438/1984 Knonaueramt, RRB Nr. 5113/1979 Liste Kanton",-,
Affoltern am Albis,Affoltern am Albis,8910,Zürichstrasse 94a,Affoltern am Albis: Pfrundliegenschaft,Waschhaus,200160,regional,19/12/1979,"RRB Nr. 3438/1984 Knonaueramt, RRB Nr. 5113/1979 Liste Kanton",PD,10/6/1971
Affoltern am Albis,Zwillikon,8909,Ottenbacherstrasse,,Transformatorenstation Zwillikon,202331,regional,13/11/2017,AREV Nr. 1446/2017 Liste und Inventarblatt,-,
Affoltern am Albis,Zwillikon,8909,Schulrain 8,,Altes Schulhaus Zwillikon,202424,regional,13/11/2017,AREV Nr. 1446/2017 Liste und Inventarblatt,-,
Affoltern am Albis,Zwillikon,8909,Weihermattstrasse 10,Affoltern am Albis: Hofgruppe Loo,Doppelbauernhaus,202202,regional,23/11/1988,"RRB Nr. 3535/1988 Einzelfestsetzung ohne Inventarblatt, AREV Nr. 1446/2017 Inventarblatt",PD,13/7/1990
Affoltern am Albis,Zwillikon,8909,Weihermattstrasse 10 bei,Affoltern am Albis: Hofgruppe Loo,Waschhaus,202200,regional,23/11/1988,"RRB Nr. 3535/1988 Einzelfestsetzung ohne Inventarblatt, AREV Nr. 1446/2017 Inventarblatt",PD,13/7/1990
Altikon,Altikon,8479,Bergstrasse,,Wasserreservoir Bühl,,regional,,,-,
Altikon,Altikon,8479,Dorfplatz 3,,Restaurant Thurtal,21100177,-,,,PD,6/5/1977
Altikon,Altikon,8479,Feldi 10; Feldi 8; Feldi 4,,Hausteil,21100056,-,,,PD,27/3/1980
Altikon,Altikon,8479,Feldi 19; Feldi 21,,Bauernhaus,21100060,-,,,PD,20/8/1973
Altikon,Altikon,8479,Kirchrain 7a,,"Kirche, ref.",21100164,kantonal,19/12/1979,RRB Nr. 5113/1979 Liste Kanton,-,
Altikon,Altikon,8479,Neunfornerstrasse 2; Neunfornerstrasse 4,,Bauernhaus,21100105,-,,,PD,6/2/1978
Altikon,Altikon,8479,Oberherten 6 bei,,"Speicher, ehem.",21100006,regional,,,-,
Altikon,Altikon,8479,Rickenbacherstrasse 19,,Primarschulhaus,21100255,regional,,,-,
Altikon,Altikon,8479,Schloss 4; Schloss 2,Altikon: Schlossanlage Altikon,"Schloss, ehem. Schul- und Gemeindehaus",21100172,regional,19/12/1979,RRB Nr. 5113/1979 Liste Kanton,-,
Altikon,Altikon,8479,Schloss bei 2,Altikon: Schlossanlage Altikon,Waschhaus,21100173,regional,19/12/1979,RRB Nr. 5113/1979 Liste Kanton,-,
Altikon,Altikon,8479,Schulweg 3,,"Bauernhaus, ehem.",21100174,-,,,PD,2/7/1980
Andelfingen,Andelfingen,8450,Bahnhofplatz SBB 1,Andelfingen: Bahnhofanlage Andelfingen,Aufnahmegebäude,3000268,regional,,,-,
Andelfingen,Andelfingen,8450,Bahnhofplatz SBB 1 bei,Andelfingen: Bahnhofanlage Andelfingen,Güterschuppen,3000266,regional,,,-,
Andelfingen,Andelfingen,8450,Bahnhofplatz SBB 2,Andelfingen: Bahnhofanlage Andelfingen,WC-Gebäude,3000267,regional,,,-,
Andelfingen,Andelfingen,8450,Bodenwiesstrasse 4,Andelfingen: Schulanlage Hofwisen,Oberstufenschulhaus Trakt A (ehem. Sekundarschulhaus),3000413,regional,,,-,
Andelfingen,Andelfingen,8450,Bodenwiesstrasse 4,Andelfingen: Schulanlage Hofwisen,Oberstufenschulhaus Trakt C,3000413,regional,,,-,
Andelfingen,Andelfingen,8450,Bodenwiesstrasse 4; Hofwiesenstrasse 9; Hofwiesenstrasse 11,Andelfingen: Schulanlage Hofwisen,Oberstufenschulhaus Trakt B mit Turnhalle und Abwartswohnung,3000413,regional,,,-,
Andelfingen,Andelfingen,8450,Felsenhofstrasse 2,Andelfingen: Bauernhof «Felsenhof»,Bauernwohnhaus «Oberer Felsenhof»,3000119,regional,,,PD,17/4/2003
Andelfingen,Andelfingen,8450,Felsenhofstrasse 4,"Andelfingen: Bauernhaus, ehem.",Hausteil 2,3000117,-,,,PD,16/10/1985
Andelfingen,Andelfingen,8450,Felsenhofstrasse 8; Felsenhofstrasse 8a,Andelfingen: Bauernhof «Felsenhof»,Bauernwohnhaus «Unterer Felsenhof»,3000120,regional,,,PD,13/12/1976
Andelfingen,Andelfingen,8450,Felsenhofstrasse 8a bei,Andelfingen: Bauernhof «Felsenhof»,Schopf und Waschhaus,3000121,regional,,,PD,13/12/1976
Andelfingen,Andelfingen,8450,Haldenmühle,Andelfingen: «Haldenmühle»,Mühlenanbau,3000176,kantonal,7/11/2007,BDV Nr. 3048/2007 Einzelaufstufung,ÖREB,11/1/2008
Andelfingen,Andelfingen,8450,Haldenmühle,"Andelfingen: «Haldenmühle»; Andelfingen: Wasserkraftanlage der Haldenmühle Vers. Nr. 176 mit Radhaus, Mühlenkeller mit Turbine",Wasserkraftanlage der Haldenmühle WR Andelfingen 13 im Gebäude Vers. Nr. 176,,kantonal,,,-,
Andelfingen,Andelfingen,8450,Haldenweg 10,Andelfingen: Ehem. Doppelbauernhaus «Zur Halde»,Hausteil Nord,3000172,-,,,PD,13/7/2000
Andelfingen,Andelfingen,8450,Haldenweg 2,"Andelfingen: Bauernhäuser, ehem.",Hausteil 3,3000167,-,,,PD,6/4/1976
Andelfingen,Andelfingen,8450,Haldenweg 6,,Haus Zur Schleife,3000173,-,,,PD,12/8/1975
Andelfingen,Andelfingen,8450,Haldenweg 8,Andelfingen: Ehem. Doppelbauernhaus «Zur Halde»,Hausteil Süd,3000171,-,,,PD,13/7/2000
Andelfingen,Andelfingen,8450,Hofwiesenstrasse 1,Andelfingen: Schulanlage Hofwisen,Schul- und Gemeindebibliothek,3000329,regional,,,-,
Andelfingen,Andelfingen,8450,Hofwiesenstrasse 3,Andelfingen: Schulanlage Hofwisen,Turnhalle,3000329,regional,,,-,
Andelfingen,Andelfingen,8450,Hofwiesenstrasse 5 bei,,Schulhausbrunnen von 1977,,regional,,,-,
Andelfingen,Andelfingen,8450,Hofwiesenstrasse 5; Hofwiesenstrasse 7,Andelfingen: Schulanlage Hofwisen,Primarschulhaus mit angebauter Abwartswohnung,3000329,regional,,,-,
Andelfingen,Andelfingen,8450,Humlikonerstrasse; Bahnhofplatz SBB 1 bei,Andelfingen: Bahnhofanlage Andelfingen,Waaghäuschen,3000269,regional,,,-,
Andelfingen,Andelfingen,8450,Im Winkel 5,"Andelfingen: Bauernhäuser mit Scheunen, ehem.",Hausteil 1,3000044,-,,,PD,20/6/1983
Andelfingen,Andelfingen,8450,Kirchweg,Andelfingen: Kirche,"Kirche, ref.",3000251,kantonal,19/12/1979,RRB Nr. 5113/1979 Liste Kanton,-,
Andelfingen,Andelfingen,8450,Kirchweg 4,Andelfingen: Kirche,"Wohnhaus, sog. «Lüthi-Haus»",3000251,kantonal,19/12/1979,RRB Nr. 5113/1979 Liste Kanton,-,
Andelfingen,Andelfingen,8450,Landstrasse 34,Andelfingen: Kantonalbank,Hauptgebäude,3000200,regional,,,-,
Andelfingen,Andelfingen,8450,Landstrasse 34a,Andelfingen: Kantonalbank,Nebengebäude,3000201,regional,,,-,
Andelfingen,Andelfingen,8450,Landstrasse 38,,Gasthaus «Zum Löwen»,3000018,regional,19/12/1979,RRB Nr. 5113/1979 Liste Kanton,-,
Andelfingen,Andelfingen,8450,Landstrasse 40,,Wohn- und Geschäftshaus «Zur alten Post»,3000019,-,,,PD,27/4/1976
Andelfingen,Andelfingen,8450,Landstrasse 45 bei,,Dorfbrunnen,,regional,19/12/1979,RRB Nr. 5113/1979 Liste Kanton,-,
Andelfingen,Andelfingen,8450,Landstrasse 45; Landstrasse 47,,"Pfarrhaus ref., ehem.",3000255,kantonal,19/12/1979,RRB Nr. 5113/1979 Liste Kanton,PD,10/12/1959
Andelfingen,Andelfingen,8450,Landstrasse 55,,"Wohnhaus, sog. «Gublerhaus»",3000243,regional,3/8/2012,BDV Nr. 3043/2012,ÖREB,12/10/2012
Andelfingen,Andelfingen,8450,Landstrasse 63,,Wirtschaft «Zum Rank»,3000217,-,,,PD,10/11/2000
Andelfingen,Andelfingen,8450,Landstrasse 69,Andelfingen: Schulanlage Hofwisen,Primarschulhaus,3000213,regional,19/12/1979,RRB Nr. 5113/1979 Liste Kanton,PD,21/2/1990
